keyword,tfidf_score
volkswagen,0.1088705364820215
id,0.10484401700542674
mentioned,0.0885878210790903
volkswagen id,0.07057749513693438
performance,0.0690641207893711
hyundai,0.06827787312527539
modern,0.06652604098376899
rental,0.06205452074411045
specified,0.06182889549208245
tesla,0.05768025928673022
emphasizing,0.05503232771118888
vehicles,0.055006692829411334
suv,0.05391681631680566
eco,0.052679514282165586
kia,0.05160145120131044
promoting,0.051418438133262974
interior,0.05135655324356072
emphasizes,0.04881309510048771
safety,0.048554362945122394
exterior,0.047819486071474716
consumers,0.04747559240101749
theme,0.04628100259451628
comfort,0.04570082379403831
ioniq,0.04506220160569633
exterior design,0.044907023088156306
uzbekistan,0.04476709309072038
booking,0.04471186461377357
connectivity,0.04419521765511968
friendly,0.04391034732514148
experience,0.0436229534682954
options,0.04358696175639599
charging,0.04264308430976433
offering,0.042581948684131225
specific,0.04225768921462056
eco friendly,0.04138280260472015
infotainment,0.04136866298259826
highlighting,0.04110168875340605
affordability,0.04109137310082632
overall,0.04096581675539714
potential,0.04075194249470078
overall theme,0.04009197586504017
financing,0.04000806251111039
buyers,0.03977703283602787
focus promoting,0.039736366142784946
note,0.03959548332326564
vw,0.039145977456417534
like,0.03895301618371583
hyundai ioniq,0.03893669919488115
online,0.038538317857613275
sleek,0.038527543634031554
